state,code,institution,state_full,cares_act,omnibus,amer_rescue_act,total_relief,endowment
AZ,00108100,Arizona State University,Arizona,63533137,112906424,197920000,374359561,922000000
FL,00150600,Miami Dade College,Florida,49074737,100313671,175095000,324483408,486000000
FL,00395400,University Of Central Florida,Florida,51071250,88785992,155326000,295183242,162000000
PA,00332900,Pennsylvania State University (The),Pennsylvania,54994846,84967674,149782000,289744520,4000000000
NJ,00262900,"Rutgers, The State University Of New Jersey",New Jersey,54160640,83956947,147525000,285642587,1476000000
IN,00991700,Ivy Tech Community College Of Indiana,Indiana,33040571,87521884,154176000,274738455,0
GA,00157400,Georgia State University,Georgia,45243852,81991625,143227000,270462477,0
CA,00115300,"California State University, Northridge",California,44652328,74004088,128804000,247460416,119000000
FL,00963500,Florida International University,Florida,38301957,70899027,124068000,233268984,218700000
CA,00113700,"California State University, Fullerton",California,41021512,67736949,118108000,226866461,81700000
CA,00113900,"California State University, Long Beach",California,41729439,67421424,117424000,226574863,79400000
OH,00309000,Ohio State University (The),Ohio,42885215,65158493,115136000,223179708,5290000000
TX,00363200,Texas A&M University,Texas,39816443,61084220,108020000,208920663,13514528000
CA,00114000,"California State University, Los Angeles",California,37914166,61905561,107504000,207323727,46200000
TX,00365200,University Of Houston,Texas,36703283,61804527,108166000,206673810,960000000
TX,01063300,Houston Community College,Texas,28294391,64722987,113378000,206395378,10200000
WA,00379800,University Of Washington - Seattle,Washington,39715956,59684404,105672000,205072360,6000000000
TX,01114500,Lone Star College System,Texas,28823255,63217876,111568000,203609131,0
CA,00115000,California State University - Sacramento,California,35734362,59891260,104257000,199882622,51200000
FL,00153700,University Of South Florida,Florida,34839748,58187541,102066000,195093289,532000000
TX,00359900,University Of Texas - Rio Grande Valley,Texas,34334258,58007276,100923000,193264534,46130000
FL,00675000,Valencia College,Florida,27682203,59512739,104037000,191231942,72500000
FL,00150000,Broward College,Florida,27154901,58986552,103056000,189197453,62200000
CA,00131400,"University Of California, Irvine",California,36731629,54737221,95771000,187239850,1030000000
CA,00131500,"University Of California, Los Angeles",California,35906870,52623807,92570000,181100677,5390000000
